#{"t_start": 1744127852.3447914, "env_id": "None"}
r,l,t
27.49997,200,297.0676
161.82004,168,297.617932
46.000076,200,298.275429
45.000023,200,298.982102
45.000103,200,299.809844
12.999954,200,300.474023
43.99999,200,312.090006
30.999962,200,312.7519
26.999962,200,313.405756
12.499968,200,314.200026
13.999956,200,314.966139
66.49992,200,315.579907
26.999966,200,316.258148
13.9999695,200,316.933776
28.499956,200,317.610728
166.51004,199,318.199853
32.500004,200,318.817744
26.499971,200,319.512084
27.99999,200,320.189574
27.99997,200,320.836404
67.99999,200,321.530057
43.500225,200,322.172775
45.50001,200,322.865932
28.999962,200,323.527959
50.50018,200,324.178943
51.500275,200,324.907669
13.499971,200,335.909788
44.499977,200,336.710632
47.500095,200,337.345968
11.499964,200,338.00358
44.50003,200,338.658672
55.00029,200,339.327991
50.00002,200,339.975889
27.499954,200,340.927457
45.500034,200,341.662783
27.999956,200,342.362148
27.499968,200,343.174876
68.99999,200,343.851589
163.14003,136,344.35601
43.99998,200,345.017703
182.42993,107,345.383825
14.499985,200,346.029912
46.000027,200,346.688159
27.999956,200,347.450399
49.000195,200,348.364007
28.499966,200,349.237925
45.49998,200,350.140682
28.999968,200,360.404663
26.999968,200,360.975753
45.000126,200,361.527671
162.60019,190,362.017655
44.50001,200,362.429856
1.5000019,200,362.845898
45.00007,200,363.291845
27.999962,200,363.618001
28.499973,200,364.043952
27.999964,200,364.351452
46.000183,200,364.674069
46.00006,200,365.163805
14.999986,200,365.695722
26.499973,200,366.265879
42.999977,200,366.722032
28.99996,200,367.239642
161.56012,194,367.694788
38.000256,200,368.108117
27.99998,200,368.486703
27.999989,200,368.894762
33.50004,200,369.61955
0.5000019,200,379.657727
27.499971,200,380.294805
45.500008,200,380.954547
12.499989,200,381.596389
161.8601,164,382.133864
28.499964,200,382.766255
27.499964,200,383.411801
65.99978,200,384.071954
25.999973,200,384.694105
27.999975,200,385.353598
26.99996,200,385.990045
12.4999695,200,386.646821
162.32007,168,387.195846
66.999794,200,387.842201
35.500065,200,388.514889
12.499967,200,389.16158
50.000237,200,389.837611
47.000015,200,390.492172
71.00007,200,391.130827
66.000175,200,391.773799
45.500126,200,392.603725
45.500004,200,403.423527
65.99988,200,404.101383
45.999996,200,404.752397
46.000084,200,405.451978
165.53009,197,406.074017
30.499964,200,406.677818
12.499976,200,407.328074
27.499962,200,407.977403
29.499966,200,408.641899
162.70007,130,409.076485
162.16005,184,409.662323
44.5,200,410.291855
163.08006,142,410.753626
38.000233,200,411.386174
27.499979,200,412.100344
48.500156,200,412.720001
66.49993,200,413.361486
45.99998,200,414.018174
12.499962,200,414.674142
45.000088,200,415.322085
27.999954,200,415.961395
67.99992,200,426.629812
41.00017,200,427.278826
36.99997,200,427.96599
28.499962,200,428.595938
162.53008,147,429.077403
49.00012,200,429.725029
165.77002,173,430.309764
163.57004,143,430.773897
42.99996,200,431.407877
45.500046,200,432.070049
31.99998,200,432.735955
28.999977,200,433.480032
27.499977,200,434.112153
11.499978,200,434.770009
27.499966,200,435.429781
49.500256,200,436.089939
30.49997,200,436.728021
49.000183,200,437.371765
48.50015,200,437.996831
26.499966,200,438.626198
52.000275,200,439.274286
26.999956,200,450.302035
43.999966,200,450.965582
27.999979,200,451.60378
12.499978,200,452.309948
27.999975,200,452.97203
159.76007,174,453.542044
12.499968,200,454.165778
28.499989,200,454.851732
11.4999695,200,455.520646
31.49997,200,456.182119
43.50016,200,456.841969
28.499964,200,457.519907
11.999966,200,458.168183
28.49999,200,458.835219
15.499956,200,459.501662
163.19003,131,459.929741
14.999983,200,460.594149
-1.9999983,200,461.237955
50.500084,200,461.911037
26.999958,200,462.551827
68.00016,200,463.159615
35.5002,200,473.641837
27.999968,200,474.27953
44.499996,200,474.951712
45.00018,200,475.599689
162.40002,160,476.122956
12.499994,200,476.871459
28.999966,200,477.533928
47.500046,200,478.177701
27.499973,200,478.836816
29.499968,200,479.497566
11.999971,200,480.144906
31.99999,200,480.787904
46.500042,200,481.419544
162.14005,136,481.886481
27.999983,200,482.514967
25.999971,200,483.1599
44.500057,200,483.811566
45.500114,200,484.476701
162.70001,180,485.08877
51.000286,200,485.718336
28.999966,200,486.352023
43.500004,200,496.933544
13.499983,200,497.587159
44.500114,200,498.237684
183.6799,132,498.74423
25.999971,200,499.38158
162.68015,182,499.962821
28.499962,200,500.619853
29.499983,200,501.244891
28.999975,200,501.893549
163.58002,92,502.20308
183.53995,196,502.817721
26.999966,200,503.469768
161.60007,140,503.932046
13.999976,200,504.56
66.99994,200,505.20983
28.999983,200,505.871029
27.999956,200,506.527412
52.500008,200,507.179682
50.499996,200,507.824688
45.000065,200,508.474031
42.99998,200,509.110008
66.999954,200,509.788002
37.50003,200,520.299812
29.499966,200,520.941692
11.999962,200,521.598115
32.499973,200,522.238972
44.499992,200,522.966832
53.500187,200,523.602362
26.999964,200,524.271513
29.499985,200,524.937583
46.500015,200,525.599673
10.999959,200,526.277807
31.99999,200,526.916032
16.99996,200,527.564442
28.499958,200,528.206124
28.499975,200,528.859974
163.25005,125,529.251773
37.000046,200,529.997975
26.999966,200,530.637153
1.8980354e-06,200,531.304392
12.499988,200,531.949566
26.99996,200,532.58687
43.5,200,533.226297
160.51004,199,543.788683
51.00026,200,544.417599
51.00008,200,545.047588
27.499977,200,545.71987
45.50007,200,546.364494
162.79016,171,546.916406
43.500046,200,547.560755
44.0,200,548.199552
165.71016,179,548.783724
27.49996,200,549.421726
30.999966,200,550.055825
44.00004,200,550.686099
162.01001,199,551.321564
43.50019,200,551.946063
68.99983,200,552.607543
28.999985,200,553.305521
44.500263,200,553.933949
27.999962,200,554.566751
46.00006,200,555.211898
69.00012,200,555.84065
32.000107,200,566.285749
161.06004,194,566.907807
28.499987,200,567.535577
161.58,192,568.228538
14.999966,200,568.856714
26.999975,200,569.52165
52.000088,200,570.177611
46.500057,200,570.827779
44.000004,200,571.505659
42.99999,200,572.153724
161.24005,126,572.566009
37.500294,200,573.217725
27.499973,200,573.856522
28.499964,200,574.50211
10.9999695,200,575.131958
50.500088,200,575.771146
11.499971,200,576.421633
-0.99999833,200,577.081709
29.499983,200,577.694779
162.96005,154,578.223569
28.49996,200,578.881594
53.500237,200,579.52074
36.000183,200,590.190667
47.500107,200,590.859733
45.000225,200,591.49854
28.499964,200,592.126555
51.000244,200,592.773677
44.999985,200,593.423738
45.500114,200,594.062723
50.500088,200,594.712959
31.999983,200,595.371568
14.499982,200,596.051669
28.499971,200,596.704008
45.500084,200,597.354779
45.500084,200,598.002115
12.499966,200,598.657327
46.000156,200,599.294935
51.50026,200,599.939534
17.499962,200,600.573477
42.500008,200,601.227031
162.01015,199,601.912039
67.999985,200,602.605666
42.999973,200,614.078807
26.999968,200,614.721962
27.499968,200,615.391981
42.49998,200,615.983922
46.00013,200,616.536799
162.36005,114,616.821153
27.99998,200,617.303747
25.999983,200,617.788069
27.499979,200,618.222049
45.500046,200,618.614738
63.500004,200,619.058262
50.5,200,619.577592
34.500088,200,620.175678
29.99999,200,620.72803
68.49996,200,621.109753
27.499954,200,621.473835
14.499983,200,621.873765
48.500107,200,622.368672
161.65001,135,622.732003
27.49996,200,623.261537
69.499886,200,623.801883
13.999978,200,633.967698
27.999968,200,634.629927
44.5,200,635.359522
72.000046,200,636.151705
27.499983,200,636.849789
11.999977,200,637.595549
11.999963,200,638.359683
45.50001,200,638.98442
